,numero,CSD_code
1,31441,TUYPUA
2,28915,PAVDUL
3,24973,AZOFOL
4,36078,BUYKUB
5,34936,TAYBUT
6,30596,CEXXIM
7,31105,UJUFUB
8,25403,HOPJAY
9,34523,BUBMAM
10,28304,BUBMEQ
11,23265,WIWBEK
12,28412,JEBKEG
13,36332,CARQUH
14,33104,WAKXAH
15,33684,BUSXAQ
16,22959,ZAYYUT
17,35275,LUGYOB
18,26021,KEHXAW
19,27156,GIXPIO
20,27822,LIVVET
21,30826,CAHYIT
22,25648,LILYIQ
23,33213,VAJVOR
24,32867,XUNFUH
25,32754,BUXSOD
26,23998,VAGBUA
27,24013,MAMNOD
28,32103,DOWFAW
29,36316,BAZCIQ
30,32776,IXOGIL
31,28043,BOXTUD
32,31706,TAWFIH
33,25939,IXOGOR
34,30828,QOKKEH
35,25728,FONZAJ
36,36100,AKAGEY
37,26591,APUTEM
38,31916,IPAJOY
39,35377,WOPZOQ
40,33306,HENLIV
41,27629,CAKSUC
42,26921,OXUFAQ
43,34461,UBETAY
44,33700,FORVUE
45,23713,WEWQOH
46,30279,EGAMIL
47,34977,XUMWAE
48,31619,GIXQAH
49,31204,BOYBAS
50,27164,LEFYIE
51,24843,SUBKUX
52,27411,YOMVIF
53,24170,ALIWAU
54,23237,PABSUG
55,36312,DICHIF
56,32020,SAENFE
57,27566,WORMOF
58,25911,VOFKUZ
59,35308,YORRUT
60,23119,PIXHEM
61,29061,VAPWAM
62,28776,NIHPOK
63,28802,MOBNUN
64,31253,CEVXOT
65,30177,SUJRIY
66,29265,KAXZUF
67,26868,MEMYIN
68,34319,UVAGOO
69,24594,KUBPED
70,28772,QOSGIP
71,34358,XOFDIF
72,35476,WIJLAE
73,29153,HOFDEN
74,32604,RALVUV
75,35048,OXAKOO
76,25671,WIJLEI
77,35124,SOCVUB
78,32545,CAYCAH
79,23725,NOWBIK
80,35177,JUPRAN
81,27556,QUKTAS
82,34717,SUMWUS
83,28515,BUCDOS
84,33107,UDUYOJ
85,25088,MELBOU
86,26963,DEMBOP
87,25559,DOPBOA
88,26594,XECNAU
89,33967,ABEMAX
90,31774,YIJPIT
91,26837,SOGJEG
92,25389,MAZHIH
93,27060,TIXXUW
94,31379,MOSLAJ
95,27196,NEMGOE
96,30110,WATVUL
97,30356,NUSMOE
98,30032,ZOVRIL
99,24336,EDIDUT
100,33945,QAHVOK
101,35412,RIZXOO
102,30692,REGBUA
103,28493,WARJIJ
104,30267,POKNAF
105,35730,HOGQEZ
106,32876,EYOCAY
107,26503,RAWCEY
108,29387,YUTHAW
109,24068,EYITEN
110,33998,BEXXOT
111,26290,AHUGOA
112,27285,SIFJUO
113,34534,TISHEK
114,24846,AHOHIP
115,23747,KIQLUU
116,34953,CIPKES
117,33918,XANMIK
118,35479,HAYBEQ
119,35310,TUNKET
120,34789,UGENOK
121,35579,NITQAJ
122,31808,BIJQUJ
123,33419,SOGHUU
124,34860,WEBZAH
125,31370,RORKUE
126,34092,HOFPIE
127,25092,FADCEU
128,28854,SICYUB
129,25231,NEDMAM
130,35731,RIFREG
131,31093,LOFWAH
132,35276,QOHWEQ
133,33557,QOHWAM
134,33662,JAFCUP
135,34290,KIKDUG
136,26974,DOJSOM
137,35164,ZOYKUV
138,26500,QAMDOA
139,33400,WATJEJ
140,23295,SAYZAV
141,31604,RENFOI
142,25508,MISQAI
143,24692,TEVWUN
144,32339,CUZQUL
145,35023,EYITIR
146,33907,BIJQET
147,32838,LASTOR
148,24768,NEBBUS
149,33640,NTSCBF
150,32536,TUNKAP
151,30539,SAPZAM
152,27917,ZAZHAJ
153,36189,NIDMOE
154,35466,WARHUT
155,27043,RANJIA
156,35423,KUGWIT
157,23889,KUGWUF
158,27534,SABDAB
159,30456,NASJOH
160,26229,MAZHON
161,30858,DABRUU
162,30194,FIJTIC
163,34866,EYITUD
164,33520,CUKMOL
165,28777,UTITEY
166,23086,BIJKEL
167,32785,FIRWIP
168,34170,BOXVAL
169,33465,QOPXAX
170,23581,SOGJAC
171,35664,BEJVIX
172,33205,WUCQOC
173,32905,TIWTEB
174,31053,CUZRAS
175,25145,YOGBAX
176,28068,BIJJIO
177,26321,LIMQUU
178,32956,WUFSIZ
179,27658,ZAZHIR
180,35736,COGQIZ
181,34609,ESISOQ
182,25655,TISWOI
183,28994,HUJDEV
184,28131,AFEZOC
185,25127,XOCTEQ
186,27144,TIRXEY
187,33946,VAGCAJ
188,31468,MIGDAI
189,33531,RONPIT
190,29966,WUFSUL
191,30129,LOJVEN
192,32958,IDAFAW
193,28664,AWONOR
194,35153,NIBFOV
195,24381,AQUGAU
196,33179,REWZUO
197,23330,BIJJEK
198,26725,CEXKUN
199,28832,NASJIB
200,26569,NOFSUZ